dataset	method	seed	rmse	score	source	log_file
FD001	D	80	13.540309906	281.303771973	final	/CMAPSS-release/logs/FD001_FD001_D/seed80/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_014951_seed80.log
FD001	D	88	15.0093307495	378.430297852	final	/CMAPSS-release/logs/FD001_FD001_D/seed88/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_015255_seed88.log
FD001	D	97	14.4149227142	421.105865479	final	/CMAPSS-release/logs/FD001_FD001_D/seed97/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_015550_seed97.log
FD001	E	2	15.6952219009	653.6953125	final	/CMAPSS-release/logs/FD001_FD001_E/seed2/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_015848_seed2.log
FD001	E	17	17.3628921509	986.443969727	final	/CMAPSS-release/logs/FD001_FD001_E/seed17/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_020035_seed17.log
FD001	E	27	17.2507972717	786.720153809	final	/CMAPSS-release/logs/FD001_FD001_E/seed27/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_020213_seed27.log
FD001	E	30	16.8798694611	613.72052002	final	/CMAPSS-release/logs/FD001_FD001_E/seed30/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_020354_seed30.log
FD001	E	33	15.7657852173	630.611694336	final	/CMAPSS-release/logs/FD001_FD001_E/seed33/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_020536_seed33.log
FD001	E	51	17.624130249	664.578979492	final	/CMAPSS-release/logs/FD001_FD001_E/seed51/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_020717_seed51.log
FD001	E	62	15.9110021591	619.461120605	final	/CMAPSS-release/logs/FD001_FD001_E/seed62/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_020850_seed62.log
FD001	E	80	16.0934772491	701.745788574	final	/CMAPSS-release/logs/FD001_FD001_E/seed80/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_021026_seed80.log
FD001	E	88	16.3655128479	696.84765625	final	/CMAPSS-release/logs/FD001_FD001_E/seed88/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_021155_seed88.log
FD001	E	97	17.6439800262	953.403015137	final	/CMAPSS-release/logs/FD001_FD001_E/seed97/FD001_E_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_021346_seed97.log
FD002	A	2	13.5278921127	988.773193359	final	/CMAPSS-release/logs/FD002_FD002_A/seed2/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_021541_seed2.log
FD002	A	17	14.0012407303	1002.7310791	final	/CMAPSS-release/logs/FD002_FD002_A/seed17/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_022247_seed17.log
FD002	A	27	12.9924240112	877.969970703	final	/CMAPSS-release/logs/FD002_FD002_A/seed27/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_022942_seed27.log
FD002	A	30	13.7466039658	833.968505859	final	/CMAPSS-release/logs/FD002_FD002_A/seed30/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_023830_seed30.log
FD002	A	33	13.2915048599	862.710083008	final	/CMAPSS-release/logs/FD002_FD002_A/seed33/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_024758_seed33.log
FD002	A	51	13.2672262192	928.611816406	final	/CMAPSS-release/logs/FD002_FD002_A/seed51/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_025706_seed51.log
FD002	A	62	13.4630908966	872.873718262	final	/CMAPSS-release/logs/FD002_FD002_A/seed62/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_030400_seed62.log
FD002	A	80	13.1257658005	901.249450684	final	/CMAPSS-release/logs/FD002_FD002_A/seed80/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_031102_seed80.log
FD002	A	88	13.3497648239	891.373840332	final	/CMAPSS-release/logs/FD002_FD002_A/seed88/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_031815_seed88.log
FD002	A	97	13.3145780563	911.32824707	final	/CMAPSS-release/logs/FD002_FD002_A/seed97/FD002_A_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_032523_seed97.log
FD002	B	2	13.1351747513	900.173828125	final	/CMAPSS-release/logs/FD002_FD002_B/seed2/FD002_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_033241_seed2.log
